TAXON_ORDER	CATEGORY	SPECIES_CODE	PRIMARY_COM_NAME	SCI_NAME	ORDER1	FAMILY	SPECIES_GROUP	REPORT_AS	ott_id	Notes				
1086	issf	udzpar2	Udzungwa Partridge (Rubeho)	Xenoperdix udzungwensis obscuratus	Galliformes	Phasianidae (Pheasants, Grouse, and Allies)		udzpar1	54193					
1085	issf	udzpar3	Udzungwa Partridge (Udzungwa)	Xenoperdix udzungwensis udzungwensis	Galliformes	Phasianidae (Pheasants, Grouse, and Allies)		udzpar1	54195					
24458	species	asdwar1	Asian Desert Warbler	Curruca nana	Passeriformes	Sylviidae (Sylviid Warblers, Parrotbills, and Allies)			7068651					
24939	species	gytwhe1	Gray-throated White-eye	Zosterops rendovae	Passeriformes	Zosteropidae (White-eyes, Yuhinas, and Allies)			758759					
4349	species	fescoq2	Butterfly Coquette	Lophornis verreauxii	Caprimulgiformes	Trochilidae (Hummingbirds)			7658846					
16459	species	salmon1	Salinas Monjita	Neoxolmis salinarum	Passeriformes	Tyrannidae (Tyrant Flycatchers)			5560059					
16460	species	rubmon1	Rusty-backed Monjita	Neoxolmis rubetra	Passeriformes	Tyrannidae (Tyrant Flycatchers)			599072					
16458	species	bkcmon1	Black-crowned Monjita	Neoxolmis coronatus	Passeriformes	Tyrannidae (Tyrant Flycatchers)			599071					
13789	species	whwtap1	White-winged Tapaculo	Scytalopus krabbei	Passeriformes	Rhinocryptidae (Tapaculos)			6520345	New amendment				
13790	species	partap4	Loja Tapaculo	Scytalopus androstictus	Passeriformes	Rhinocryptidae (Tapaculos)			6520347	New amendment				
13800	species	amptap1	Ampay Tapaculo	Scytalopus whitneyi	Passeriformes	Rhinocryptidae (Tapaculos)			6520346	New amendment				
13801	species	miltap1	Jalca Tapaculo	Scytalopus frankeae	Passeriformes	Rhinocryptidae (Tapaculos)			6520348	New amendment				
13649	species	rufant5	Sierra Nevada Antpitta	Grallaria spatiator	Passeriformes	Grallariidae (Antpittas)			6520349	New amendment	-	-	-	-
13650	species	rufant6	Perija Antpitta	Grallaria saltuensis	Passeriformes	Grallariidae (Antpittas)			6520350	New amendment	-	-	-	-
13655	species	oxaant1	Oxapampa Antpitta	Grallaria centralis	Passeriformes	Grallariidae (Antpittas)			6520351	New amendment	-	-	-	-
13656	species	ayaant1	Ayacucho Antpitta	Grallaria ayacuchensis	Passeriformes	Grallariidae (Antpittas)			6520352	New amendment	-	-	-	-
13657	species	rufant10	Urubamba Antpitta	Grallaria occabambae	Passeriformes	Grallariidae (Antpittas)			6520353	New amendment	-	-	-	-
13660	species	punant1	Puno Antpitta	Grallaria sinaensis	Passeriformes	Grallariidae (Antpittas)			6520354	New amendment	-	-	-	-
13661	species	rufant11	Bolivian Antpitta	Grallaria cochabambae	Passeriformes	Grallariidae (Antpittas)			6520355	New amendment	-	-	-	-
13662	species	chaant4	Chami Antpitta	Grallaria alvarezi	Passeriformes	Grallariidae (Antpittas)			6520356	New amendment	-	-	-	-
13663	species	equant1	Equatorial Antpitta	Grallaria saturata	Passeriformes	Grallariidae (Antpittas)			6520357	New amendment	-	-	-	-
13665	species	rufant8	Cajamarca Antpitta	Grallaria cajamarcae	Passeriformes	Grallariidae (Antpittas)			6520358	New amendment	-	-	-	-
13667	species	chaant5	Chachapoyas Antpitta	Grallaria gravesi	Passeriformes	Grallariidae (Antpittas)			6520359	New amendment	-	-	-	-
13668	species	panant1	Panao Antpitta	Grallaria oneilli	Passeriformes	Grallariidae (Antpittas)			6520360	New amendment	-	-	-	-
13669	species	rufant9	Junin Antpitta	Grallaria obscura	Passeriformes	Grallariidae (Antpittas)			6520361	New amendment	-	-	-	-
10736	species	bncwoo3	Brown-capped Woodpecker	Yungipicus nanus	Piciformes	Picidae (Woodpeckers)			6520362	New amendment				
